[16:03:21.352] : [CorpCard2DB] file_path=[null], info_cd=[C03], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[16:03:21.602] : Undefined info_cd : C03
[16:05:18.318] : [CorpCard2DB] file_path=[null], info_cd=[C01], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[16:11:50.447] : [CorpCard2DB] file_path=[ABRR20171127_10962260C01.001], info_cd=[C01], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[16:11:50.681] : [CorpCard2DB] ABRR20171127_10962260C01.001 (지정된 파일을 찾을 수 없습니다)
[16:15:06.508] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171127_10962260C01.002], info_cd=[C01], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[16:15:06.727] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000013], ApprAmt=[542850.0]
[16:15:06.743] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000014], ApprAmt=[25466.0]
[16:15:06.743] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000015], ApprAmt=[83636.0]
[16:15:06.743] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000016], ApprAmt=[32728.0]
[16:15:06.758] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000017], ApprAmt=[165455.0]
[16:15:06.758] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000018], ApprAmt=[804546.0]
[16:15:06.758] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000019], ApprAmt=[2670.0]
[16:15:06.758] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000020], ApprAmt=[100000.0]
[16:15:06.758] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000021], ApprAmt=[63636.0]
[16:15:06.774] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000022], ApprAmt=[54545.0]
[16:15:06.774] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000023], ApprAmt=[63636.0]
[16:15:06.774] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000024], ApprAmt=[27273.0]
[16:15:06.774] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000025], ApprAmt=[12728.0]
[16:15:06.774] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000026], ApprAmt=[52100.0]
[16:15:06.790] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000027], ApprAmt=[58182.0]
[16:15:06.790] : data_code=[D], company_id=[6098123911], send_dt=[2017/11/23], seq_no=[00000028], ApprAmt=[37730.0]
