[09:47:03.632] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171130_10962533C03.001], info_cd=[C03], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[09:47:03.898] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010446], ApprNo=[00000000]
[09:47:03.914] : [CorpCard2DB] Unknown column 'SEND_DATE' in 'field list'
[09:49:53.326] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171130_10962533C03.002], info_cd=[C03], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[09:49:53.576] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010446], ApprNo=[00000000]
[09:49:53.607] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010447], ApprNo=[01627771]
[09:49:53.623] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010448], ApprNo=[09878743]
[09:49:53.623] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010449], ApprNo=[08042338]
[09:49:53.623] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010450], ApprNo=[00569714]
[09:49:53.623] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010451], ApprNo=[08604328]
[09:49:53.623] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010452], ApprNo=[02184792]
[09:49:53.638] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010453], ApprNo=[00631391]
[09:49:53.638] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010454], ApprNo=[09979183]
[09:49:53.638] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010455], ApprNo=[04754787]
[09:49:53.654] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010456], ApprNo=[04414673]
[09:49:53.654] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010457], ApprNo=[04614972]
[09:49:53.654] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010458], ApprNo=[02684775]
[09:49:53.669] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010459], ApprNo=[01600326]
[09:49:53.669] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010460], ApprNo=[07855725]
[09:49:53.669] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010461], ApprNo=[06042742]
[09:49:53.669] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010462], ApprNo=[09238798]
[09:49:53.685] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010463], ApprNo=[03424183]
[09:49:53.685] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010464], ApprNo=[09232786]
[09:49:53.685] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010465], ApprNo=[04833682]
[09:49:53.685] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010466], ApprNo=[01262770]
[09:49:53.701] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010467], ApprNo=[07687391]
[09:49:53.701] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010468], ApprNo=[01305172]
[09:49:53.701] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010469], ApprNo=[03833660]
[09:49:53.701] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010470], ApprNo=[02627387]
[09:49:53.701] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010471], ApprNo=[07817740]
[09:49:53.701] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010472], ApprNo=[00647749]
[09:49:53.716] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010473], ApprNo=[09485141]
[09:49:53.716] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010474], ApprNo=[09003414]
[09:49:53.716] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010475], ApprNo=[09003414]
[09:49:53.716] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010476], ApprNo=[01093411]
[09:49:53.716] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010477], ApprNo=[07063006]
[09:49:53.732] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010478], ApprNo=[07194103]
[09:49:53.732] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010479], ApprNo=[03719983]
[09:49:53.732] : [Bill2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/23], seq_no=[00010480], ApprNo=[02368774]
