[15:45:31.498] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171204_10962533C04.001], info_cd=[C04], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[15:45:31.826] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001917], ApprNo=[1428103111]
[15:45:31.904] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001918], ApprNo=[1428103111]
[15:45:31.982] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001919], ApprNo=[1428103111]
[15:45:32.014] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001920], ApprNo=[1428103111]
[15:45:32.029] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001921], ApprNo=[1428103111]
[15:45:32.045] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001922], ApprNo=[1428103111]
[15:45:32.061] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001923], ApprNo=[1428103111]
[15:45:32.076] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001924], ApprNo=[1428103111]
[15:45:32.092] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001925], ApprNo=[1428103111]
[15:45:32.107] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001926], ApprNo=[1428103111]
[15:45:32.123] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001927], ApprNo=[1428103111]
[15:45:32.139] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001928], ApprNo=[1428103111]
[15:45:32.154] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001929], ApprNo=[1428103111]
[15:45:32.170] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001930], ApprNo=[1428103111]
[15:45:32.186] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001931], ApprNo=[1428103111]
[15:45:32.201] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001932], ApprNo=[1428103111]
[15:45:32.217] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001933], ApprNo=[1428103111]
[15:45:32.232] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001934], ApprNo=[1428103111]
[15:45:32.248] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001935], ApprNo=[1428103111]
[15:45:32.264] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001936], ApprNo=[1428103111]
[15:45:32.279] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001937], ApprNo=[1428103111]
[15:45:32.295] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001938], ApprNo=[1428103111]
[15:45:32.311] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001939], ApprNo=[1428103111]
[15:45:32.326] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001940], ApprNo=[1428103111]
[15:45:32.342] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001941], ApprNo=[1428103111]
[15:45:32.357] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001942], ApprNo=[1428103111]
[15:45:32.373] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001943], ApprNo=[1428103111]
[15:45:32.389] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001944], ApprNo=[1428103111]
[15:45:32.404] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001945], ApprNo=[1428103111]
[15:45:32.420] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001946], ApprNo=[1428103111]
[15:45:32.436] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001947], ApprNo=[1428103111]
[15:45:32.451] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001948], ApprNo=[1428103111]
[15:45:32.467] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001949], ApprNo=[1428103111]
[15:45:32.482] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001950], ApprNo=[1428103111]
[15:45:32.498] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001951], ApprNo=[1428103111]
[15:45:32.514] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001952], ApprNo=[1428103111]
[15:45:32.529] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001953], ApprNo=[1428103111]
[15:45:32.545] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001954], ApprNo=[1428103111]
[15:45:32.561] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001955], ApprNo=[1428103111]
[15:45:32.576] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001956], ApprNo=[1428103111]
[15:45:32.592] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001957], ApprNo=[1428103111]
[15:45:32.607] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001958], ApprNo=[1428103111]
[15:45:32.623] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001959], ApprNo=[1428103111]
[15:45:32.639] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001960], ApprNo=[1428103111]
[15:45:32.654] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001961], ApprNo=[1428103111]
[15:45:32.670] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001962], ApprNo=[1428103111]
[15:45:32.686] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001963], ApprNo=[1428103111]
[15:45:32.701] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001964], ApprNo=[1428103111]
[15:45:32.717] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001965], ApprNo=[1428103111]
[15:45:32.732] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001966], ApprNo=[1428103111]
[15:45:32.748] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001967], ApprNo=[1428103111]
[15:45:32.764] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001968], ApprNo=[1428103111]
[15:45:32.779] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001969], ApprNo=[1428103111]
[15:45:32.795] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001970], ApprNo=[1428103111]
[15:45:32.811] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001971], ApprNo=[1428103111]
[15:45:32.826] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001972], ApprNo=[1428103111]
[15:45:32.842] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001973], ApprNo=[1428103111]
[15:45:32.857] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001974], ApprNo=[1428103111]
[15:45:32.873] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001975], ApprNo=[1428103111]
[15:45:32.889] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001976], ApprNo=[1428103111]
[15:45:32.904] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001977], ApprNo=[1428103111]
[15:45:32.920] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001978], ApprNo=[1428103111]
[15:45:32.936] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001979], ApprNo=[1428103111]
[15:45:32.951] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001980], ApprNo=[1428103111]
[15:45:32.967] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001981], ApprNo=[1428103111]
[15:45:32.983] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001982], ApprNo=[1428103111]
[15:45:32.998] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001983], ApprNo=[1428103111]
[15:45:33.014] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001984], ApprNo=[1428103111]
[15:45:33.029] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001985], ApprNo=[1428103111]
[15:45:33.045] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001986], ApprNo=[1428103111]
[15:45:33.061] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001987], ApprNo=[1428103111]
[15:45:33.076] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001988], ApprNo=[1428103111]
[15:45:33.092] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001989], ApprNo=[1428103111]
[15:45:33.108] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001990], ApprNo=[1428103111]
[15:45:33.123] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001991], ApprNo=[1428103111]
[15:45:33.139] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001992], ApprNo=[1428103111]
[15:45:33.170] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001993], ApprNo=[1428103111]
[15:45:33.186] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001994], ApprNo=[1428103111]
[15:45:33.217] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001995], ApprNo=[1428103111]
[15:45:33.233] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001996], ApprNo=[1428103111]
[15:45:33.248] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001997], ApprNo=[1428103111]
[15:45:33.264] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001998], ApprNo=[1428103111]
[15:45:33.279] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00001999], ApprNo=[1428103111]
[15:45:33.295] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002000], ApprNo=[1428103111]
[15:45:33.311] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002001], ApprNo=[1428103111]
