[15:40:49.472] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171207_10962533C02.002], info_cd=[C02], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[15:40:49.754] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[323], ApprNo=[30000181]
[15:40:49.769] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[274], ApprNo=[72197497]
[15:40:49.769] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[275], ApprNo=[71922078]
[15:40:49.769] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[276], ApprNo=[79972749]
[15:40:49.800] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[277], ApprNo=[77407372]
[15:40:49.800] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[278], ApprNo=[75706310]
[15:40:49.800] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[279], ApprNo=[39774746]
[15:40:49.816] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[280], ApprNo=[55876429]
[15:40:49.816] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[281], ApprNo=[73554604]
[15:40:49.816] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[282], ApprNo=[61064853]
[15:40:49.816] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[283], ApprNo=[73287979]
[15:40:49.816] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[284], ApprNo=[71704335]
[15:40:49.832] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[285], ApprNo=[57392685]
[15:40:49.832] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[286], ApprNo=[57358033]
[15:40:49.832] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[287], ApprNo=[74098950]
[15:40:49.832] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[288], ApprNo=[77401340]
[15:40:49.847] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[289], ApprNo=[58263301]
[15:40:49.847] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[290], ApprNo=[58239372]
[15:40:49.847] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[291], ApprNo=[71122803]
[15:40:49.847] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[292], ApprNo=[61103335]
[15:40:49.847] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[293], ApprNo=[60698828]
[15:40:49.863] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[294], ApprNo=[57953815]
[15:40:49.863] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[295], ApprNo=[71109443]
[15:40:49.863] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[296], ApprNo=[71601007]
[15:40:49.863] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[297], ApprNo=[71263638]
[15:40:49.863] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[298], ApprNo=[73975209]
[15:40:49.863] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[299], ApprNo=[76648750]
[15:40:49.879] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[300], ApprNo=[75979528]
[15:40:49.879] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[301], ApprNo=[73335644]
[15:40:49.879] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[302], ApprNo=[71883680]
[15:40:49.879] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[303], ApprNo=[60695641]
[15:40:49.894] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[304], ApprNo=[72666538]
[15:40:49.894] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[305], ApprNo=[60185454]
[15:40:49.894] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[306], ApprNo=[60034105]
[15:40:49.894] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[307], ApprNo=[73434828]
[15:40:49.894] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[308], ApprNo=[77361383]
[15:40:49.910] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[309], ApprNo=[76723140]
[15:40:49.910] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[310], ApprNo=[72362371]
[15:40:49.910] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[311], ApprNo=[73762758]
[15:40:49.910] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[312], ApprNo=[64967714]
[15:40:49.910] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[313], ApprNo=[64965706]
[15:40:49.926] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[314], ApprNo=[70358978]
[15:40:49.926] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[315], ApprNo=[58865196]
[15:40:49.926] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[316], ApprNo=[58568992]
[15:40:49.926] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[317], ApprNo=[57768771]
[15:40:49.926] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[318], ApprNo=[76591816]
[15:40:49.926] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[319], ApprNo=[71362941]
[15:40:49.941] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[320], ApprNo=[73006452]
[15:40:49.941] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[321], ApprNo=[76881914]
[15:40:49.941] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[322], ApprNo=[76206307]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[323], ApprNo=[60736476]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[324], ApprNo=[54383531]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[325], ApprNo=[56066688]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[326], ApprNo=[67160897]
[15:40:49.957] : [Acquire2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/12/01], seq_no=[327], ApprNo=[57563411]
