[17:07:23.280] : [CorpCard2Json] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171220_10962289C06.001], info_cd=[C06], log_dir=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\log]
[17:07:23.287] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[00019930]
[17:07:23.291] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[00023581]
[17:07:23.293] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[00023582]
[17:07:23.294] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.296] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.299] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.301] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.304] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.306] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.309] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.311] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.314] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.316] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.321] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.324] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.327] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.329] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.332] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.335] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.338] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.341] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.344] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.347] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.351] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.357] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.359] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.361] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.363] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.365] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.367] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.369] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.371] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.374] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.376] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.378] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.380] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.383] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.385] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.388] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.389] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.392] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.394] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.396] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.398] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.400] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.402] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.403] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.405] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.407] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.409] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.411] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.413] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.414] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.416] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.418] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.420] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.422] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.424] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.427] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.430] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.432] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.436] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.440] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.444] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.448] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.452] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.455] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.458] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.460] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
[17:07:23.463] : [CardLimit2Json] data_code=[D], company_id=[1308149813], send_dt=[2017/12/12], seq_no=[40499149]
